,Unnamed: 0,trainName,trainNumber,stationFrom,stationTo,trainRunsOnSun,trainRunsOnMon,trainRunsOnTue,trainRunsOnWed,trainRunsOnThu,trainRunsOnFri,trainRunsOnSat,from_DepartureTime,from_StationName,to_StationName,to_ArrivalTime,dayCount,totalDistance
362,362,NANDIGRAM  EXP,11401,CSMT,NGP,Y,Y,Y,Y,Y,Y,Y,16:35,C SHIVAJI MAH T,NAGPUR,16:15,2.0,1139.0
363,363,SHAKTIPUNJ EXP,11448,HWH,JBP,Y,Y,Y,Y,Y,Y,Y,13:10,HOWRAH JN,JABALPUR,14:25,2.0,1164.0
364,364,KYQ SVDK EXPRESS,15655,KYQ,SVDK,Y,N,N,N,N,N,N,10:45,KAMAKHYA,SHMATA VD KATRA,16:00,3.0,2587.0
365,365,MUSSOORIE EXP,24042,KTW,DLI,Y,Y,Y,Y,Y,Y,Y,22:30,KOTDWARA,DELHI,07:25,2.0,238.0
366,366,PUNE MUV SPECIAL,01497,PUNE,MUV,N,N,N,N,Y,N,N,21:30,PUNE JN,MANDUADIH,03:25,3.0,1536.0
367,367,NGP SC SUP EXP,12772,NGP,SC,N,N,Y,N,Y,N,Y,22:00,NAGPUR,SECUNDERABAD JN,08:25,2.0,578.0
368,368,GOLCONDA EXP,17201,GNT,SC,Y,Y,Y,Y,Y,Y,Y,06:00,GUNTUR JN,SECUNDERABAD JN,13:50,1.0,381.0
369,369,YESVANTHPUR EXP,16580,SMET,YPR,Y,Y,N,N,N,N,Y,15:30,SHIVAMOGGA TOWN,YESVANTPUR JN,21:00,1.0,269.0
370,370,BCY INTERCITY,15111,CPR,BCY,Y,Y,Y,Y,Y,Y,Y,03:45,CHHAPRA,VARANASI CITY,08:55,1.0,223.0
371,371,BDTS MHV SF EXP,22989,BDTS,MHV,N,Y,N,N,N,N,N,11:45,BANDRA TERMINUS,MAHUVA JN,03:10,2.0,881.0
372,372,SBP RIG SPL,02409,SBP,RIG,N,Y,N,Y,Y,Y,Y,01:00,SAMBALPUR,RAIGARH,03:20,1.0,118.0
373,373,NS HYB SPL,07258,NS,HYB,Y,N,N,N,N,N,N,18:00,NARASAPUR,HYDERABAD DECAN,04:45,2.0,461.0
